,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
173,BNBUSDT,CREAMUSDT,0.0,-5.76,-3.37,25.42,51
16,1000BTTUSDT,ETHUSDT,0.0,-4.58,-3.37,0.0,47
96,AKROUSDT,SUNUSDT,0.0,-5.68,-3.37,0.6,46
76,AKROUSDT,BSWUSDT,0.0,-4.99,-3.37,0.02,45
14,1000BTTUSDT,CREAMUSDT,0.01,-3.77,-3.37,0.0,43
684,XTZUSDT,BOBAUSDT,0.0,-4.24,-3.37,4.47,42
695,ZRXUSDT,1000XECUSDT,0.01,-3.89,-3.37,6.75,41
25,1000BTTUSDT,XNOUSDT,0.05,-3.37,-3.37,0.0,41
714,ZRXUSDT,FITFIUSDT,0.02,-3.63,-3.37,8.97,41
17,1000BTTUSDT,FITFIUSDT,0.0,-5.15,-3.37,0.03,40
8,1000BTTUSDT,1000XECUSDT,0.0,-4.17,-3.37,0.02,39
22,1000BTTUSDT,KLAYUSDT,0.01,-3.79,-3.37,0.0,39
95,AKROUSDT,STXUSDT,0.02,-3.6,-3.37,0.01,38
83,AKROUSDT,DENTUSDT,0.0,-4.13,-3.37,3.75,38
214,EGLDUSDT,1000BTTUSDT,0.03,-3.55,-3.37,61343.22,38
446,MINAUSDT,CEEKUSDT,0.03,-3.57,-3.37,6.45,36
710,ZRXUSDT,EGLDUSDT,0.04,-3.42,-3.37,0.01,36
455,MINAUSDT,CTCUSDT,0.01,-4.08,-3.37,1.3,36
49,1000LUNCUSDT,ILVUSDT,0.03,-3.53,-3.37,0.0,36
6,1000BONKUSDT,LOOKSUSDT,0.01,-4.09,-3.37,0.0,35
57,1000LUNCUSDT,SUSHIUSDT,0.0,-5.88,-3.37,0.13,35
161,ATOMUSDT,ALPHAUSDT,0.03,-3.56,-3.37,109.41,35
186,CELOUSDT,KNCUSDT,0.01,-4.06,-3.37,0.9,35
656,REQUSDT,BOBAUSDT,0.0,-4.19,-3.37,0.43,34
151,ARUSDT,KAVAUSDT,0.05,-3.37,-3.37,11.87,34
664,SCRTUSDT,GLMRUSDT,0.03,-3.57,-3.37,1.67,34
89,AKROUSDT,JSTUSDT,0.03,-3.55,-3.37,0.13,34
97,AKROUSDT,THETAUSDT,0.0,-4.87,-3.37,0.0,34
100,AKROUSDT,VETUSDT,0.02,-3.59,-3.37,0.15,34
2,10000NFTUSDT,IOTAUSDT,0.01,-3.89,-3.37,0.02,34
223,EOSUSDT,ADAUSDT,0.03,-3.51,-3.37,2.77,33
704,ZRXUSDT,CEEKUSDT,0.04,-3.4,-3.37,1.96,33
209,CROUSDT,1000BTTUSDT,0.02,-3.76,-3.37,109.54,33
183,CELOUSDT,BOBAUSDT,0.01,-3.78,-3.37,3.03,33
117,ALPHAUSDT,CRVUSDT,0.0,-4.33,-3.37,0.12,33
254,EOSUSDT,CREAMUSDT,0.02,-3.67,-3.37,0.08,33
102,AKROUSDT,XNOUSDT,0.04,-3.46,-3.37,0.0,33
148,ARUSDT,GALUSDT,0.02,-3.72,-3.37,4.92,32
